,Diklah,E1AC,OT: man: tree
,Dinah,EFB7,"Woman: mouth,said,speak,confession"
,Dinhabah_city,EFED,King: village: many: neighbor: house: near
,Dionysius,EB78,"man: fill: cup,drink"
,Diotrephes,ECE2,?
,direction,E323,
,dirt,E15B,"land,ground,earth"
,dirty,E249,"wet,water: no,not: good"
,disciple,E142,"person: follow: people: to,forward"
,discipline,EDA5,Whip: message: mouth: book
,discourage,E261,"chain,bound,imprisoned,arrest: heart"
,disease,E20A,"sad,grieve: heart"
,dish,E384,
,Dishan,E1EC,Man: small: part
,Dishon,EFEE,"Man: mouth,said,speak,confession: sheep: soft"
,disobedience,E193,"no,not: obey,obedience: mouth,said,speak: work,do"
,disobey,E193,"no,not: obey,obedience: mouth,said,speak: work,do"
,divide,E326,"Backward: forward,to"
,division,E326,"Backward: forward,to"
,divorce,EA3D,"house: split,division,divide,separate"
,do,E08C,
,doctor,E144,"person: heal: hand: happy,joy: heart"
,Dodanim,EDCF,"Man: lead,leader: to,forward: person"
,dog,E104,"small,few: animal"
,dominion,E032,"crown,ruler,king,lord: land,ground,earth: knife,cut"
,donkey,EA09,"small,few: horse"
,door,E23E,
,Dorcas,EC2C,Woman: horse
,Dothan,EFA3,Water: two: village: many: neighborhood: house: near
,doubt,E194,"no,not: believe,faith: know,knowledge: cross"
,dough,EA36,"soft: mouth,said,speak: grain,wheat"
,dove,E25E,"bird: peace: rest,sleep,lie_down: love,compassion"
,down,E319,
,dragon,ECDF,"Fire,heat,hot: bird"
,dream,EA80,"eye: rest,sleep,lie_down"
,drink,E274,
,drum,EBE3,"hand:sound,noise: ear,hear: thing"
,drunk,EA8D,"cup,drink: no,not: good"
,Drusilla,EB9C,"woman: wet,water"
,dry,E188,"no: wet,water"
,Dumah,EEFD,"Man: small,few: mute: mouth,said,speak,confession: no,not"
,dust,E15D,"small,few: part: land,ground,earth"
,dwell,E17B,"house: life,alive,live: good: heart"
,eagle,ECC9,Big: bird
,ear,E299,
,earn,E0F5,"money,wealth,wealthy: work,do"
,earth,E153,
,earthquake,E159,"land,ground,earth: shake"
,east,EA38,direction
,easy,E092,"happy,joy: face: work,do"
,eat,E053,"mouth,said,speak: thing"
,Ebal,EFEF,"Man: rock: hard: soft: no,not: thing"
,Eber,EC5A,"man: through,pass: thing: to,forward"
,Eden_garden,EDD2,Up: grain: small: land
,Eden_man,E1E9,Man: small: happy: face
,Edom_land,E1A7,OT: man: blood: hand: water: land
,Edom_man,E1A6,
,Egypt,EA44,"slave: land,ground,earth: thing: person"
,Ehi,EFB8,"Man: gathered(people),together(people): people"
,eight,E293,
,El,EDD3,OT: king: man: love
,El_Elohe,E1E4,OT: son: man: small: love”: .:
,Elah,E1A9,Man: dry: no: water
,Elam_land,EB6D,"time,when: land,ground,earth"
,Elam_man,EDD4,Man: everything: all: thing
,Eldaah,E1E3,Man: know: god: king: love
,elder,EB62,"no,not: new: lead,leader: to,forward: person"
,Eleazar,EA70,"man: king,crown,ruler,lord: help: straight: people"
,elect,EC9F,"choose: love,compassion: or: people"
,Eli,EC44,man: up
,Eliakim,EA6B,"man: up: money,wealth,wealthy"
,Eliezer,EC5B,"man: me,i: help: straight: people"
,Elijah,E36A,"man: heat,fire,hot"
,Eliphaz,EFF1,"Man: gold: big: money,wealth,wealthy"
,Elisha,EC5C,"man: can,power,ability: person: knife,cut"
,Elishah,EC5C,"Man: ability,can,power: big: knife,cut"
,Eliud,EA6F,"man: amazing,amazing: person: mouth,said,speak: good: praise,worship,exalt"
,Elizabeth,EC3A,"woman: promise: mouth,speak,said: work: very"
,Ellasar,EDD6,"Hit,beat: hand: hurt,pain: knife,cut: heart: ground,land,earth"
,Elmadam,EC5D,man: stretch
,Elon,EDD7,"Man: big: plant,tree,wood"
,Emites,EFA8,"Afraid,fear,worry: mouth,said,speak,confession: heart: people"
,Emmaus,EC5E,"fire,heat,hot: wet,water: village: many: neighbor: house: near"
,Emmor,EB5D,man: donkey: small: horse
,empty,E277,"cup,drink: no,not"
,Enaim,EBF9,"Throne: crown,ruler,lord,king,master: chair,sit: village: many,much: neighbor: house: near,close"
,encourage,E262,"free,freedom: heart"
,end,E232,
,endure,E170,"time: here: very: land,ground,earth"
,enemy,E025,"person: friend: love,compassion: no,not"
,enmity,E01B,"love,compassion: no,not"
,Enoch,EC5F,"man: teach,teaching: mouth,speak.said: book,learn,read"
,Enos,EC60,"man: dead,death,die: no,not: heart"
,Enosh,EC60,"Man: die,dead,death: no,not: heart"
,enter,E242,"door: to,forward"
,envy,E022,"love,compassion: heart: you: thing"
,Epaenetus,EBC1,"man: greeting: mouth,said,speak: happy,joy"
,Epaphras,ECE4,Man: good: face
,Epaphroditus,ECE4,Man: good: face
,Ephah,E1AD,Man: small: measure
,Epher,EEFE,Man: animal
,Ephesus,EC0C,"love,compassion: village: many: neighbor: house: near"
,Ephraim,EBA3,very: fruit
