,Carpus,ECAD,"Man: cloak: big: clothing,fabric"
,carry,E088,hand: thing
,case,EC87,"justice: forward,to: hand: same,equal: land,ground,earth,space: church"
,catch,E115,thing: net
,Cauda,EC36,"no,not: walk: island: water,wet: land,ground,earth,space"
,cave,EDA6,Hole: mountain
,Cenchrea,EB3D,"small,few: village: many,much: neighbor: house: near,close"
,census,E0B8,"person: book,read,learn: number"
,centurion,EB7A,"lead,leader: forward,to: person: war,fight,battle"
,Cephas,E356,"Man: ear,hear"
,ceremony,EC88,"part,some: believe,faith: know,knowledge: cross: time,when"
,chain,E25F,
,chair,E298,
,Chaldea,EB0E,"river,stream: land,ground,earth,space"
,change,E31E,
,chapter,E230,"book,read,learn: part,some"
,chariot,EC82,"horse: chair,sit"
,child,E200,"small,few: person"
,children,E201,"small,few: people"
,Chios,EB22,"island: water,wet: land,ground,earth,space: cold: no,not: fire,heat,hot"
,Chloe,EBE2,"woman: grain,wheat"
,choose,E021,"love,compassion: or"
,Chorazin,EA8F,"bad: no,not: good: fire,heat,hot: village: many,much: neighbor: house: near,close"
,Christ,E334,"very: anointed: king,ruler,lord,master: appointed: call,beckon: mouth,said,speak,confession: near,close: person"
,Christian,EB90,"follow: people: forward,to: king,lord,ruler,master: cross"
,church,EBFC,cross: people
,Chuza,EC57,"man: small,few: mouth,speak,said,confession"
,Cilicia,EB5B,"hair: face: clothing,fabric: land,ground,earth,space"
,circumcise,E250,"knife,cut: flesh: soft: person"
,circumcision,E250,"knife,cut: flesh: soft: person"
,citizen,EB98,"person: very: land,ground,earth,space"
,Clauda,EC36,"no,not: walk: island: water,wet: land,ground,earth,space"
,Claudia,ECAE,"Woman: no,not: walk"
,Claudius,EB8A,"man: no,not: walk"
,clay,EBEC,"Water,wet: dirt,soil,ground_soil: land,ground,earth,space"
,clean,E248,"water,wet: good"
,Clement,ECE3,"Man: good: spirit: no,not: person"
,Cleopas,EC58,"man: all,whole: know,knowledge"
,cloak,EA76,"big: clothing,fabric"
,Clopas,EBB5,"man: near,close: cross"
,close,E300,
,closed,E23F,
,clothe,E147,"clothing,fabric: person"
,clothing,E253,
,cloud,E26E,soft: thing
,Cnidus,EC14,"thorn: village: many,much: neighbor: house: near,close"
,cohort,E148,"soldier: person: war,fight,battle: many,much"
,cold,E0F2,"no,not: fire,heat,hot"
,color,E284,
,Colossae,ECE8,"Animal: beast: bad: no,not: good: village: many,much: neighbor: house: near,close"
,come,E25A,"walk: near,close"
,come_out,E243,"door: forward,to"
,comfort,EA3B,"love,compassion: sleep,rest,lie_down"
,command,E058,"mouth,said,speak,confession: !"
,commandment,E22F,"Book,learn,read: story,news,message,parable,report: allow,permit,permission: mouth,said,speak,cpnfession: king,lord,ruler,master"
,compassion,E01A,
,complete,ECEC,"Very: all,whole"
,concubine,EEFC,"Love,compassion: chain,imprisoned,bound,arrest: woman"
,condemn,EA7F,"mouth,said,speak,confession: know,knowledge: wrong: no,not"
,condemnation,EA7F,"mouth,said,speak,confession: know,knowledge: wrong: no,not"
,confession,E03F,
,confidence,E070,"know,knowledge: know,knowledge"
,confuse,EB08,"no,not: understand,understanding: know,knowledge: very"
,continue,E049,Thing
,control,E332,"tie,knot: down"
