"","Aaron","eb0d"
"","Geshur","e499"
"","Gether","edde"
"","Gethsemane","e34a"
"","Geuel","e1fb"
"","Gezer","e42f"
"","Gibbethon","e500"
"","Gibea","e773"
"","Gibeah","e501"
"","Gibeath_Haaraloth","e430"
"","Gibeon_man","e5de"
"","Gibeon_village","e431"
"","Giddalti","e857"
"","Giddel","e836"
"","Gideon","ed03"
"","Gideoni","e2bd"
"","Gidom","e57b"
"","gift","e072"
"","Gihon","eddf"
"","Gilalai","e891"
"","Gilead_land","efa1"
"","Gilead_man","e3ab"
"","Gilgal","e432"
"","Giloh","e509"
"","Gimzo","e91a"
"","Ginath","e691"
"","Ginnethon","e892"
"","Girgashites","ede1"
"","girl","e009"
"","girls","e00a"
"","Gittaim","e489"
"","give","e086"
"","glass","ecde"
